promo_id,promo_name,start_date,end_date,channel,discount_pct,promo_spend,baseline_revenue,promo_revenue,incremental_revenue,incremental_margin,roi
P001,Spring Launch,2024-03-01,2024-03-15,Direct,15,45000,380000,520000,140000,91000,2.02
P002,Partner Kickoff,2024-04-10,2024-04-24,Partner,20,38000,290000,410000,120000,72000,1.89
P003,Summer Sale,2024-06-01,2024-06-30,Marketplace,25,82000,450000,680000,230000,126500,1.54
P004,Mid-Year Push,2024-07-15,2024-07-31,Direct,10,28000,520000,615000,95000,71250,2.54
P005,Back-to-School,2024-09-01,2024-09-20,Partner,18,52000,410000,590000,180000,118800,2.28
P006,Fall Flash,2024-10-10,2024-10-17,Marketplace,30,65000,380000,520000,140000,70000,1.08
P007,Black Friday,2024-11-25,2024-11-29,Direct,20,95000,650000,920000,270000,162000,1.71
P008,Year-End,2024-12-15,2024-12-31,Partner,25,88000,580000,810000,230000,126500,1.44
P009,New Year,2025-01-05,2025-01-20,Marketplace,15,48000,510000,670000,160000,104000,2.17
P010,Q1 Boost,2025-03-01,2025-03-21,Direct,12,58000,680000,870000,190000,139400,2.40
P011,Spring Refresh,2025-04-01,2025-04-15,Partner,18,44000,590000,745000,155000,102300,2.32
P012,Summer Kickoff,2025-06-01,2025-06-25,Marketplace,22,76000,720000,980000,260000,145600,1.92
